label,text
ham,Ok lar... Joking wif u oni...
ham,"Hey, are we meeting today?"
spam,WINNER!! You have won a free ticket. Call now!
ham,"I'll call you later, don't worry."
spam,Claim your free prize by clicking http://win.example.com
ham,Can you send the notes from class?
spam,Congratulations! You won a $1000 gift card. Reply CLAIM
ham,See you at 7pm.
ham,"Got it, thanks!"
spam,You have been selected for a cash reward. Call 09050001234
ham,Happy birthday! Hope you have a great day.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts 21st May 2005. Text WIN to 80086
ham,I'll be there in 10 minutes.
ham,"Thanks, I'll review it tonight."
spam,SMS: You've won a prize. Text YES to 12345 to claim.
ham,Let's have lunch tomorrow.
spam,Call this number to claim your free holiday voucher.
ham,Which chapter are you on?
spam,You've been specially selected to receive a $5000 reward.
ham,Bring the book tomorrow.
ham,I'll pick you up from the station.
spam,Exclusive deal just for you! Visit http://scam.example.com
ham,"No problem, see you then."
spam,URGENT! Your mobile number has won £2000. Call immediately!
ham,Can you share the assignment?
ham,Movie tonight? Wanna come?
spam,Reply STOP to unsubscribe from these messages.
ham,"Okay, noted."
spam,"Act now! Limited time offer, click here to claim your prize."
